"cc","p","b","n","rsq","maxspi","minspi","meanspi"
"BU",0.696800702555315,-1.7634024216293,2836,0.0990241385343098,1.04996201006048,-1.40375554998821,-0.423595498162697
"BF",0.0268310945478958,8.89392362191352,4751,0.0705243645618951,2.06395970319325,-0.604697571015151,1.03413447832044
"AM",4.83859503851662e-08,-29.8268080297426,1144,0.0381423173417916,2.91411290867165,-0.528745729758813,1.45045784032415
"ZM",0.00605959667938797,-6.04432117186411,10716,0.0422680294339721,2.32953834795652,-2.02419807635707,0.359475296026897
"SZ",0.394602042850286,-7.5311893458079,1559,0.0491308034565368,1.56754762749131,-0.350976915027908,0.670231857760797
"SL",0.385778100422619,4.3822951881039,4276,0.0348164706718789,1.60646232415105,-2.12618320104739,-0.15322167008097
"RW",0.940866957499316,-0.129514649251222,9199,0.0930352343122451,1.75823750780255,-1.78484618489391,-0.120017314444387
"PE",0.00223908078720516,4.15633412609546,7893,0.122976575247411,2.4852150487721,-1.68364118274433,0.146914310347487
"NG",0.719739318521168,-4.435829272608,805,0.150912738569862,1.71493763932349,-0.934741813642484,0.495108791694513
"MB",0.0467728938437551,-23.7823846890541,641,0.0508336485898196,1.74442407415251,-0.0562850272157051,1.02284647347128
"LB",0.576630879061134,2.02970988106953,4948,0.114869617130626,1.13576611709722,-2.16282316934267,-0.0808737961190951
"KE",1.61748423226414e-06,5.69612680958379,16551,0.0451910360428863,2.66346783629665,-2.12163578286461,0.535025013122224
"GY",0.00233310420893719,20.6403720476582,1188,0.115938701540715,2.12518272677266,-0.762883304905331,0.972959645217182
"GN",2.21861616028697e-07,13.9684136193743,4192,0.111419332339175,1.96939613045959,-2.80992447891571,-0.275139401810325
"GH",0.0340843623092169,-3.63347637725274,3146,0.0941099885985465,2.5628126253186,-2.90081103554954,-0.245244383339299
"DR",0.00116157937661479,-6.89625196269647,5724,0.0432376825266211,1.80065873435602,-1.95316228196085,0.104260709629909
"CD",0.525568861907759,-1.70931605402518,6976,0.141024710651131,2.54457069705175,-2.2859581303299,0.102628441836018
"BO",2.86464512799382e-17,26.9685821223492,3732,0.140555904962631,1.80655833486463,-1.02459428289817,0.419972196935183
"BD",2.70185983403777e-05,-5.02634117351685,13430,0.101137785588498,1.83780067271996,-2.39924652995889,-0.575252405965161
"AL",0.468949564650218,9.94462286831004,712,0.0544477153041933,1.16423279009414,-1.25934575956239,-0.410358263609753
