"num","cc","subversion","WI","KR","GE","PR","KRheight","KRweight","KRage","PRheight","PRweight","PRage","useable","PRgood","KRgood"
"7","SN",3,"","SNKR7QFL.DTA","SNGE7IFL.shp","SNPR7QFL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"0","SN",1,"","SNKR01FL.DTA","","",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"5","SN",1,"","SNKR50FL.DTA","","SNPR50FL.DTA",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"5","SZ",1,"","SZKR51FL.DTA","SZGE53FL.shp","SZPR52FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"7","TD",1,"","TDKR71FL.DTA","TDGE71FL.shp","TDPR71FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"3","TD",1,"TDWI31FL.DTA","TDKR31FL.DTA","","TDPR31FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"4","TD",1,"","TDKR41FL.DTA","","TDPR41FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"0","TG",1,"","TGKR01FL.DTA","TGGE03FL.shp","",TRUE,TRUE,TRUE,NA,NA,NA,TRUE,NA,TRUE
"3","TG",1,"TGWI31FL.DTA","TGKR31FL.DTA","TGGE32FL.shp","TGPR31FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,TRUE,NA,TRUE
"6","TG",1,"","TGKR61FL.DTA","TGGE62FL.shp","TGPR61FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6","TJ",1,"","TJKR61FL.DTA","TJGE61FL.shp","TJPR61FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6","TL",1,"","TLKR61FL.DTA","TLGE62FL.shp","TLPR61FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4","TZ",1,"TZWI41FL.DTA","TZKR41FL.DTA","TZGE43FL.shp","TZPR41FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,TRUE,NA,TRUE
"4","TZ",2,"","","TZGE4CFL.shp","tzpr4afl.dta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","TZ",1,"","TZKR51FL.DTA","TZGE52FL.shp","TZPR51FL.DTA",NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"6","TZ",1,"","TZKR63FL.DTA","TZGE61FL.shp","TZPR63FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6","TZ",2,"","TZKR6AFL.DTA","TZGE6AFL.shp","TZPR6AFL.DTA",NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"7","TZ",2,"","TZKR7HFL.DTA","TZGE7AFL.shp","TZPR7HFL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2","TZ",1,"","TZKR21FL.DTA","","TZPR21FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"3","TZ",2,"TZWI3AFL.DTA","TZKR3AFL.DTA","","TZPR3AFL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"4","TZ",3,"","TZKR4IFL.DTA","","TZPR4IFL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"4","UG",1,"UGWI41FL.DTA","UGKR41FL.DTA","UGGE43FL.shp","UGPR41FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"5","UG",1,"","UGKR52FL.DTA","UGGE53FL.shp","UGPR52FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"5","UG",2,"","UGKR5HFL.DTA","UGGE5AFL.shp","UGPR5HFL.DTA",NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"6","UG",1,"","UGKR60FL.DTA","UGGE61FL.shp","UGPR60FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6","UG",2,"","","UGGE6AFL.shp","UGPR6AFL.DTA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","UG",1,"","UGKR72FL.DTA","UGGE71FL.shp","UGPR72FL.DTA",NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"0","UG",1,"","UGKR01FL.DTA","","",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"3","UG",1,"UGWI33FL.DTA","UGKR33FL.DTA","","UGPR33FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"4","UZ",1,"","","UZGE42FL.shp","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","UZ",1,"UZWI31FL.DTA","UZKR31FL.DTA","","UZPR31FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"5","ZM",1,"","ZMKR51FL.DTA","ZMGE52FL.shp","ZMPR51FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6","ZM",1,"","ZMKR61FL.DTA","ZMGE61FL.shp","ZMPR61FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2","ZM",1,"","ZMKR21FL.DTA","","ZMPR21FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"3","ZM",1,"ZMWI31FL.DTA","ZMKR31FL.DTA","","ZMPR31FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"4","ZM",1,"ZMWI41FL.DTA","ZMKR42FL.DTA","","ZMPR43FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"4","ZW",1,"ZWwi42fl.dta","ZWKR42FL.DTA","ZWGE42FL.shp","ZWPR42FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"5","ZW",1,"","ZWKR52FL.DTA","ZWGE52FL.shp","ZWPR52FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6","ZW",1,"","ZWKR62FL.DTA","ZWGE61FL.shp","ZWPR62FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"7","ZW",1,"","ZWKR70FL.DTA","ZWGE72FL.shp","ZWPR70FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"0","ZW",1,"","ZWKR01FL.DTA","","",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"3","ZW",1,"ZWWI31FL.DTA","ZWKR31FL.DTA","","ZWPR31FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
