"latitude","longitude","code","interview_year","interview_month"
31.50288151,31.84478313,"EG-4-2-1000207",2003,6
30.13755,31.33368,"EG-4-2-80405",2003,6
30.0431974662,31.1842006063,"EG-4-2-3110406",2003,6
0,0,"EG-4-2-5450307",2003,6
30.1441746562,31.3398975919,"EG-4-2-74202",2003,6
30.83959,30.68136,"EG-4-2-2730204",2003,6
31.23063,29.95985,"EG-4-2-480802",2003,5
31.02529,31.38845,"EG-4-2-1190602",2003,5
29.06607,31.13278,"EG-4-2-3360201",2003,6
30.82938,31.54922,"EG-4-2-1340103",2003,5
30.00418,31.2001,"EG-4-2-3061308",2003,6
30.07918,31.24163,"EG-4-2-120401",2003,6
30.55955,31.97678,"EG-4-2-2910201",2003,5
27.19403,31.1934,"EG-4-2-3890115",2003,5
30.5378015385,30.7916081779,"EG-4-2-2770101",2003,6
31.2324,29.96781,"EG-4-2-530704",2003,5
30.70612,31.26433,"EG-4-2-1400103",2003,5
0,0,"EG-4-2-5640802",2003,5
30.03496,31.26019,"EG-4-2-301007",2003,6
31.19221,29.93103,"EG-4-2-560203",2003,5
31.40317,31.73511,"EG-4-2-1020305",2003,5
30.78707,30.99655,"EG-4-2-2130509",2003,5
30.82019,30.90618,"EG-4-2-2260108",2003,5
30.92329,31.74368,"EG-4-2-1490101",2003,5
31.26099,32.29522,"EG-4-2-780502",2003,6
30.99517,31.16285,"EG-4-2-2090608",2003,5
29.97861,31.25962,"EG-4-2-360407",2003,6
30.58359,31.15626,"EG-4-2-2400104",2003,6
31.01461,31.26339,"EG-4-2-2200102",2003,5
30.09742,31.26676,"EG-4-2-165002",2003,6
31.19416,31.60335,"EG-4-2-1130105",2003,6
30.10208,31.26316,"EG-4-2-140403",2003,6
0,0,"EG-4-2-5420306",2003,5
30.0773657968,31.2079503481,"EG-4-2-2952903",2003,5
30.08923,31.30999,"EG-4-2-171003",2003,5
29.84507,31.27361,"EG-4-2-3090606",2003,6
25.91001,32.76539,"EG-4-2-4331008",2003,5
30.031930866,31.2182072709,"EG-4-2-2990508",2003,6
27.08845,31.27945,"EG-4-2-4000402",2003,5
30.13768,31.34829,"EG-4-2-41203",2003,6
28.09108,30.68245,"EG-4-2-3760503",2003,5
30.09617,31.2011,"EG-4-2-2930303",2003,5
30.06366,31.18469,"EG-4-2-2970402",2003,6
31.15922,29.86018,"EG-4-2-650502",2003,5
30.10595,31.19545,"EG-4-2-2943301",2003,5
28.08696,30.7446,"EG-4-2-3630503",2003,5
0,0,"EG-4-2-5440101",2003,5
24.05376,32.8772,"EG-4-2-4570407",2003,5
31.18777,31.86567,"EG-4-2-1150808",2003,5
31.18953,29.92002,"EG-4-2-591204",2003,5
31.00745,31.38161,"EG-4-2-1300103",2003,5
30.09165,31.2931,"EG-4-2-190406",2003,6
27.64115,30.85842,"EG-4-2-3650501",2003,5
31.12719,30.57852,"EG-4-2-2660206",2003,6
31.24404178,32.28140489,"EG-4-2-830204",2003,6
31.13791,30.63769,"EG-4-2-1941501",2003,6
30.11659,31.23856,"EG-4-2-1735804",2003,5
29.99089,31.21708,"EG-4-2-3040305",2003,6
31.18469,29.88645,"EG-4-2-610301",2003,5
31.13272,30.14326,"EG-4-2-2550305",2003,6
0,0,"EG-4-2-5570103",2003,6
30.13804,31.26378,"EG-4-2-1742503",2003,5
0,0,"EG-4-2-5430202",2003,5
31.26339,30.0078,"EG-4-2-472305",2003,5
30.45521,31.18104,"EG-4-2-1680207",2003,5
30.0453,31.26662,"EG-4-2-280106",2003,6
29.96714,31.26454,"EG-4-2-330208",2003,6
30.04396,31.27857,"EG-4-2-270208",2003,6
30.21857,31.23975,"EG-4-2-1880304",2003,6
30.61912,32.27124,"EG-4-2-2800304",2003,6
31.20729,29.95482,"EG-4-2-530201",2003,6
31.2387,30.93315,"EG-4-2-1920106",2003,5
31.23169,30.51427,"EG-4-2-2010203",2003,6
30.55963,31.51927,"EG-4-2-1590108",2003,5
30.20883,31.12023,"EG-4-2-1900205",2003,6
31.1920495321,31.6029952296,"EG-4-2-1130103",2003,6
30.61256,32.27067,"EG-4-2-2800603",2003,6
30.16921,31.41952,"EG-4-2-32303",2003,6
29.84449,31.31258,"EG-4-2-391703",2003,6
30.77637,31.00273,"EG-4-2-2120204",2003,6
31.21793,29.98366,"EG-4-2-500904",2003,5
31.41883,31.81135,"EG-4-2-1010501",2003,6
30.83652,31.80412,"EG-4-2-1520103",2003,5
30.96079,31.17707,"EG-4-2-2100502",2003,5
31.27049,32.27663,"EG-4-2-700403",2003,6
0,0,"EG-4-2-5510107",2003,6
28.93663,31.00983,"EG-4-2-3380104",2003,6
30.01835,31.18615,"EG-4-2-3020402",2003,5
31.12669,31.12022,"EG-4-2-2180104",2003,5
30.38501,31.04137,"EG-4-2-2490102",2003,6
30.08642,31.21199,"EG-4-2-2951205",2003,6
31.40215,31.66183,"EG-4-2-1090204",2003,6
24.06868,32.92696,"EG-4-2-4561104",2003,5
30.04204,31.18782,"EG-4-2-3011105",2003,6
30.12765,31.30933,"EG-4-2-170502",2003,5
31.18304,29.90587,"EG-4-2-580801",2003,5
31.24712,32.26662,"EG-4-2-750807",2003,6
29.96582,32.55689,"EG-4-2-980807",2003,6
31.13633,30.15527,"EG-4-2-2550704",2003,6
30.71837,31.2456,"EG-4-2-2150516",2003,5
30.38109,31.35378,"EG-4-2-1660205",2003,5
29.35562,30.68821,"EG-4-2-3430503",2003,6
27.9149,30.81613,"EG-4-2-3780101",2003,5
31.24534,30.02675,"EG-4-2-450103",2003,5
31.01838,29.80264,"EG-4-2-670104",2003,5
